Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2015),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"98,046","1,040",589,"7,107","1,923","2,078","46,613",509,"4,846","4,594","1,265",253,110,"5,256","1,245","2,638","15,078"
011001,Tiergarten Süd,"5,475",81,58,474,109,107,"2,720",15,313,246,52,18,11,299,83,135,940
011002,Regierungsviertel,"10,313",76,36,478,96,130,"5,849",15,287,363,48,10,4,314,110,46,863
011003,Alexanderplatz,"23,524",156,90,"1,476",425,322,"12,456",80,805,"1,074",235,35,12,"1,175",338,497,"3,009"
011004,Brunnenstraße Süd,"4,583",29,13,207,41,61,"2,455",59,231,421,108,9,6,369,140,73,867
012005,Moabit West,"7,428",115,54,569,151,186,"3,045",53,583,338,112,25,10,444,74,165,"1,213"
012006,Moabit Ost,"14,091",85,44,733,189,205,"4,944",42,432,454,98,18,6,448,84,342,"1,410"
013007,Osloer Straße,"8,017",98,59,786,243,245,"3,623",35,330,317,167,35,13,479,72,231,"1,582"
013008,Brunnenstraße Nord,"7,358",84,37,563,144,196,"3,207",65,405,398,113,22,10,534,127,273,"1,241"
014009,Parkviertel,"7,093",81,44,676,177,214,"3,578",55,536,343,126,31,16,493,90,192,"1,491"
014010,Wedding Zentrum,"10,164",148,90,"1,025",309,353,"3,851",48,501,436,203,34,14,640,127,582,"2,107"
019900,"Bezirk (Mi), nicht zuzuordnen",0,87,64,120,39,59,885,42,423,204,3,16,8,61,0,102,355
020000,Friedrichshain-Kreuzberg,"67,357","1,027",581,"4,727","1,500","1,106","32,845",513,"3,325","4,215",866,228,93,"4,723","1,338","5,571","11,223"
021001,Südliche  Friedrichstadt,"11,567",134,63,702,198,229,"5,146",58,866,439,152,30,10,686,122,421,"1,651"
022002,Tempelhofer Vorstadt,"11,407",104,48,764,189,198,"6,102",140,735,"1,200",240,37,18,756,159,346,"1,789"
023003,Nördliche Luisenstadt,"7,698",139,68,612,218,100,"3,586",35,264,364,86,29,9,441,120,520,"1,138"
023004,Südliche Luisenstadt,"8,598",170,109,484,195,147,"3,474",51,316,423,85,28,13,465,164,"1,956","1,122"
024005,Karl-Marx-Allee Nord,"2,544",36,18,155,47,48,"1,458",49,197,233,76,9,3,225,62,36,683
024006,Karl-Marx-Allee Süd,"7,524",125,85,629,172,110,"3,928",29,236,308,44,14,7,495,165,419,"1,237"
025007,Frankfurter Allee Nord,"4,626",28,15,319,95,78,"2,113",53,135,396,60,39,18,554,135,70,"1,068"
025008,Frankfurter Allee Süd FK,"12,229",194,100,"1,062",373,162,"5,852",65,365,691,121,34,12,"1,072",411,"1,480","2,368"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","1,164",97,75,0,13,34,"1,186",33,211,161,2,8,3,29,0,323,167
030000,Pankow,"44,156",303,151,"2,667",619,952,"26,000",753,"3,356","4,568","1,068",196,81,"4,243","1,312",510,"11,470"
031001,Buch,"1,870",10,5,180,51,76,897,39,185,147,24,22,4,277,60,30,430
032002,Blankenfelde/Niederschönhausen,"1,464",7,1,113,21,55,727,19,196,116,66,14,4,144,39,18,286
032003,Buchholz,795,2,0,61,12,24,383,18,44,36,34,7,4,93,33,5,136
033004,Karow,831,7,4,60,13,37,443,17,111,92,38,5,1,95,16,4,144
033005,Blankenburg/Heinersdorf/Märchenland,"1,467",8,1,99,25,38,798,15,124,129,62,5,3,114,25,6,192
