Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2020),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"79,401",738,438,"7,319","2,053","2,359","32,070",382,"3,460","3,548",778,364,118,"6,433","1,539","3,657","16,277"
011001,Tiergarten Süd,"4,053",48,32,381,107,136,"1,663",19,160,297,27,17,4,254,40,184,896
011002,Regierungsviertel,"6,948",35,18,450,121,267,"2,702",10,196,231,32,13,2,456,120,139,"1,092"
011003,Alexanderplatz,"19,287",137,80,"1,617",470,389,"8,721",48,614,754,151,52,16,"1,338",337,813,"3,463"
011004,Brunnenstraße Süd,"3,890",46,35,298,71,88,"1,809",35,174,365,45,17,5,502,185,98,938
012005,Moabit West,"6,326",69,36,607,155,209,"2,008",38,274,368,118,51,15,631,89,369,"1,387"
012006,Moabit Ost,"9,328",56,29,695,181,202,"3,467",25,221,388,91,52,17,560,85,444,"1,708"
013007,Osloer Straße,"6,119",57,28,644,197,228,"2,603",45,325,272,56,26,10,512,146,320,"1,476"
013008,Brunnenstraße Nord,"6,575",64,37,766,222,209,"2,513",46,364,265,69,54,14,741,268,401,"1,466"
014009,Parkviertel,"6,007",60,30,636,157,230,"2,539",47,423,222,91,32,14,524,62,251,"1,415"
014010,Wedding Zentrum,"7,818",101,61,"1,002",308,324,"2,627",43,486,272,98,34,16,742,180,538,"1,930"
019900,"Bezirk (Mi), nicht zuzuordnen","3,050",65,52,223,64,77,"1,418",26,223,114,0,16,5,173,27,100,506
020000,Friedrichshain-Kreuzberg,"57,083",740,452,"4,787","1,563","1,245","24,139",252,"2,714","3,832",513,362,106,"5,677","1,236","5,995","11,739"
021001,Südliche  Friedrichstadt,"9,047",141,62,732,233,251,"3,787",26,555,395,90,86,28,735,133,682,"1,698"
022002,Tempelhofer Vorstadt,"11,057",125,71,854,253,262,"5,259",53,698,"1,065",120,53,15,874,221,680,"1,991"
023003,Nördliche Luisenstadt,"5,470",70,45,511,202,118,"2,542",19,283,302,52,35,14,416,65,578,"1,023"
023004,Südliche Luisenstadt,"7,028",135,95,560,256,125,"2,332",28,298,469,70,25,8,506,91,"1,841","1,307"
024005,Karl-Marx-Allee Nord,"2,552",28,20,252,53,73,"1,302",28,162,232,30,20,3,312,38,81,761
024006,Karl-Marx-Allee Süd,"7,230",77,46,684,191,130,"3,081",22,208,345,29,18,6,578,154,610,"1,393"
025007,Frankfurter Allee Nord,"4,030",24,13,318,91,88,"1,621",34,112,325,38,52,13,760,142,149,985
025008,Frankfurter Allee Süd FK,"9,015",91,58,775,243,156,"3,382",33,245,611,84,69,18,"1,383",379,"1,210","2,311"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","1,654",49,42,101,41,42,833,9,153,88,0,4,1,113,13,164,270
030000,Pankow,"38,007",305,195,"3,159",733,"1,183","18,423",405,"2,233","3,862",598,235,78,"4,771","1,440","1,093","8,869"
031001,Buch,"1,882",19,9,215,50,71,807,12,86,89,13,15,6,221,75,46,395
032002,Blankenfelde/Niederschönhausen,"1,586",13,6,127,23,63,712,28,126,157,43,11,3,178,29,18,323
032003,Buchholz,806,7,2,75,10,33,364,10,58,61,35,2,1,68,7,12,176
033004,Karow,746,5,5,72,11,32,297,8,33,78,20,5,1,110,18,24,148
033005,Blankenburg/Heinersdorf/Märchenland,"1,450",2,1,111,19,49,631,10,92,87,56,3,2,143,44,18,224
034006,Schönholz/Wilhelmsruh/Rosenthal,"1,090",6,3,97,22,36,547,14,105,59,53,7,3,125,23,20,224
034007,Pankow Zentrum,"3,077",26,13,244,53,107,"1,556",28,154,459,41,14,6,385,118,47,672
034008,Pankow Süd,"2,229",22,11,194,42,91,998,29,133,302,32,12,4,251,76,67,513
035009,Weißensee,"3,301",24,15,271,61,141,"1,645",46,229,324,56,25,8,432,124,65,867
035010,Weißensee Ost,"1,415",10,4,132,35,60,591,25,138,101,24,17,6,221,28,49,407
036011,Prenzlauer Berg Nordwest,"3,607",38,32,277,83,74,"1,781",26,130,450,28,18,4,367,119,288,881
036012,Prenzlauer Berg Nord,"2,892",16,5,208,47,63,"1,588",34,161,337,27,18,4,346,111,72,661
036013,Helmholtzplatz,"2,340",8,6,199,41,53,"1,114",16,67,305,24,19,5,393,153,87,601
036014,Prenzlauer Berg Ost,"4,475",45,30,354,87,120,"2,292",46,259,279,52,27,9,574,225,80,903
037015,Prenzlauer Berg Südwest,"3,245",28,22,296,83,80,"1,645",30,180,335,41,19,5,438,137,93,844
037016,Prenzlauer Berg Süd,"2,907",15,11,204,44,70,"1,405",32,182,348,52,11,4,399,138,63,811
