Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2019),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"84,357",707,407,"7,595","1,951","2,157","35,601",401,"3,330","3,817",845,291,104,"6,142","1,601","4,233","15,967"
011001,Tiergarten Süd,"4,575",52,28,341,88,123,"2,068",13,166,281,55,12,6,304,58,226,913
011002,Regierungsviertel,"7,392",37,15,522,127,143,"3,458",11,161,339,21,19,4,478,157,164,"1,002"
011003,Alexanderplatz,"21,462",150,84,"1,831",467,399,"10,445",55,547,891,137,42,12,"1,261",366,"1,037","3,602"
011004,Brunnenstraße Süd,"4,131",39,29,260,62,76,"1,830",38,176,358,64,18,7,420,170,86,888
012005,Moabit West,"6,989",61,25,674,208,199,"2,057",45,312,324,93,28,15,630,89,609,"1,384"
012006,Moabit Ost,"9,268",46,28,636,144,225,"3,463",27,227,330,96,38,16,541,92,544,"1,569"
013007,Osloer Straße,"5,874",56,27,724,167,213,"2,438",46,280,274,77,30,6,465,116,275,"1,446"
013008,Brunnenstraße Nord,"6,393",60,40,685,199,208,"2,465",55,381,323,75,30,10,581,221,407,"1,386"
014009,Parkviertel,"6,098",59,41,683,157,215,"2,642",45,448,256,113,32,13,511,85,143,"1,449"
014010,Wedding Zentrum,"7,856",84,40,954,257,292,"2,817",40,413,308,113,37,14,753,189,560,"1,801"
019900,"Bezirk (Mi), nicht zuzuordnen","4,319",63,50,285,75,64,"1,918",26,219,133,1,5,1,198,58,182,527
020000,Friedrichshain-Kreuzberg,"60,290",820,579,"5,006","1,752","1,237","25,650",387,"2,120","4,094",513,282,102,"5,349","1,454","5,232","12,431"
021001,Südliche  Friedrichstadt,"9,233",122,66,761,211,251,"3,989",41,432,481,105,41,17,670,117,626,"1,891"
022002,Tempelhofer Vorstadt,"11,577",112,76,798,262,257,"5,494",107,504,"1,156",113,54,23,"1,249",484,502,"1,999"
023003,Nördliche Luisenstadt,"5,043",84,58,488,201,91,"2,337",25,228,282,43,25,8,370,79,456,"1,015"
023004,Südliche Luisenstadt,"6,656",173,142,545,256,127,"2,338",37,208,447,57,45,15,529,108,"1,299","1,332"
024005,Karl-Marx-Allee Nord,"2,549",37,25,231,59,63,"1,229",51,122,221,45,8,5,295,60,57,636
024006,Karl-Marx-Allee Süd,"7,984",83,60,733,261,142,"3,374",31,192,317,33,20,9,442,110,671,"1,471"
025007,Frankfurter Allee Nord,"4,080",30,15,368,106,93,"1,778",33,80,351,49,48,9,597,118,117,"1,198"
025008,Frankfurter Allee Süd FK,"10,725",112,77,953,341,161,"4,111",45,246,743,68,37,15,"1,050",333,"1,319","2,558"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","2,443",67,60,129,55,52,"1,000",17,108,96,0,4,1,147,45,185,331
030000,Pankow,"36,710",284,176,"3,174",651,"1,156","17,202",626,"1,985","3,976",846,201,72,"4,249","1,224",788,"8,054"
031001,Buch,"1,759",8,4,237,56,87,715,15,69,113,8,23,4,251,49,35,424
032002,Blankenfelde/Niederschönhausen,"1,555",5,4,102,14,52,645,31,125,146,62,15,7,204,30,15,321
032003,Buchholz,804,3,0,72,10,40,354,7,71,59,29,4,2,80,10,9,158
033004,Karow,824,4,4,79,9,41,350,6,53,85,47,6,4,96,27,21,173
033005,Blankenburg/Heinersdorf/Märchenland,"1,394",5,4,106,22,44,673,21,113,135,45,9,4,178,39,24,223
034006,Schönholz/Wilhelmsruh/Rosenthal,"1,051",11,8,77,9,31,519,15,118,50,94,9,5,114,18,8,245
034007,Pankow Zentrum,"2,994",36,30,233,55,90,"1,522",45,139,481,58,12,2,304,88,38,640
034008,Pankow Süd,"2,422",25,14,226,41,99,"1,057",70,144,340,46,18,7,293,88,45,617
035009,Weißensee,"3,404",16,9,339,70,132,"1,695",61,187,346,83,12,6,397,101,64,828
035010,Weißensee Ost,"1,353",10,4,145,28,52,578,29,105,91,30,9,4,182,34,51,396
036011,Prenzlauer Berg Nordwest,"2,937",31,21,248,65,67,"1,348",41,90,367,38,15,2,287,88,144,605
036012,Prenzlauer Berg Nord,"2,828",21,8,208,39,75,"1,576",71,163,391,41,11,4,299,89,70,608
036013,Helmholtzplatz,"1,963",10,7,168,39,48,870,28,58,224,59,8,2,305,131,30,465
036014,Prenzlauer Berg Ost,"4,175",34,21,326,63,123,"2,038",70,165,300,72,22,7,480,175,92,802
037015,Prenzlauer Berg Südwest,"3,179",17,8,379,92,67,"1,527",37,138,357,70,13,5,370,132,48,750
037016,Prenzlauer Berg Süd,"2,585",26,12,155,27,67,"1,212",52,133,356,64,7,4,310,105,47,600
039900,"Bezirk (Pk), nicht zuzuordnen","1,483",22,18,74,12,41,523,27,114,135,0,8,3,99,20,47,199
040000,Charlottenburg-Wilmersdorf,"49,791",420,212,"4,131",969,"1,484","22,571",575,"3,352","3,088","1,096",225,122,"3,911",852,"1,174","10,407"
041001,Charlottenburg Nord,"2,615",35,10,308,81,107,"1,000",72,297,58,75,26,17,195,28,212,674
042002,Heerstraße,"1,429",13,10,161,50,58,599,23,143,47,82,13,13,176,63,32,361
042003,Westend,"3,503",27,16,301,77,132,"1,832",49,301,200,122,17,11,318,43,44,787
043004,Schloss Charlottenburg,"4,411",37,15,453,99,190,"1,808",45,233,367,89,19,10,437,101,107,"1,069"
043005,Mierendorffplatz,"1,772",20,7,162,37,72,731,27,128,97,23,13,7,188,29,47,441
043006,Otto-Suhr-Allee/Kantstraße,"8,232",49,21,740,169,242,"4,043",34,365,605,122,33,19,635,112,152,"1,810"
044007,Grunewald,"1,813",13,6,140,21,68,773,31,233,87,117,9,2,265,114,21,423
044008,Schmargendorf,"2,494",15,12,163,28,64,"1,404",66,239,274,109,15,4,251,40,34,548
045009,Halensee,"3,623",25,14,305,57,105,"1,790",57,294,245,94,16,10,276,21,52,837
045010,Lietzenburger Straße,"10,823",116,47,931,250,234,"5,137",71,490,450,119,32,15,676,214,291,"1,923"
045011,Volkspark Wilmersdorf,"7,091",32,19,343,66,143,"2,674",66,451,569,144,23,7,405,72,133,"1,239"
049900,"Bezirk (Ch-Wi), nicht zuzuordnen","1,985",38,35,124,34,69,780,34,178,89,0,9,7,89,15,49,295
